VNIR1_savg,NIR_savg,VNIR2_INTP,EVI_INTP,NIR_INTP,NIR,SWIR1_savg,EVI_savg,VNIR3_INTP,EVI2,VNIR1,VNIR1_INTP,SWIR1,VNIR2,VNIR2_savg,SWIR1_INTP,NIR_diss,SWIR2_savg,ELEVATION,RED_savg,EVI,VNIR3,VNIR3_savg,EVI2_savg,GREEN_savg,GREEN_INTP,NIR_contrast,NIR_dent,NBR_savg,NDVI_INTP,RED,GREEN,NIR_inertia,GREEN_idm,NIR_idm,BLUE_savg,NBR,NBR_INTP,EVI2_INTP,SWIR2,SWIR2_INTP,VNIR1_COS,GREEN_contrast,NDVI_savg,NIR_ent,SWIR2_SIN,NIR_dvar,GREEN_ent,GREEN_inertia,NIR_asm,SWIR1_RMSE,GREEN_diss,TREE_COVER,SWIR2_dent,NDVI_shade,SWIR1_COS,BLUE,GREEN_RMSE,GREEN_dent,RAINFALL,VNIR3_dvar,NDVI,ASPECT,SWIR2_shade,EVI2_shade,VNIR3_inertia,NBR_shade,x,y,polygonID,Class,Classname
68.83023,166.48613,0.2344261,0.31400713,0.29687074,0.3188,131.08228,355.61295,0.2751618,0.2615821,0.1649,0.14169642,0.3026,0.2563,131.45068,0.27224162,3.7965908,82.37864,16.0,45.140907,0.29028592,0.2881,158.73978,354.16092,43.442047,0.09853072,25.680681,2.255691,341.21204,0.4485617,0.138,0.1238,25.680681,0.39651603,0.24016029,27.087046,0.2005165,0.2579949,0.29173708,0.2075,0.1781077,0.0,12.899318,400.7802,4.96237,0.0,10.9514265,4.351186,12.899318,0.0080305785,0.03338469,2.4434092,67.0,2.2343774,-2803.3203,0.027961219,0.0962,0.015218892,1.950974,2265.0,11.926896,0.37770516,0.0,4821.8403,801.015,20.290228,-456.97943,-16.03066082393389,11.348102573932472,1286,2,Open Forest
72.16568,163.7725,0.2618859,0.47475043,0.32653108,0.3188,136.82318,349.60114,0.32643893,0.24658167,0.1846,0.11777663,0.3453,0.2599,130.26978,0.2327559,3.8347728,88.42954,16.0,49.223408,0.26671305,0.2942,155.79431,347.57956,46.058636,0.07346926,26.374773,2.275363,330.76523,0.6562616,0.1512,0.1252,26.374773,0.37888613,0.24060242,29.632046,0.116279095,0.4500427,0.44125384,0.2432,0.13483736,-0.0007419259,13.7472725,391.2066,4.9634786,0.008465373,11.418859,4.5094666,13.7472725,0.008016425,0.045687545,2.57,67.0,2.2866511,24053.12,0.00053636957,0.0879,0.01979642,2.005729,2265.0,11.643218,0.3529687,0.0,876.8425,10585.911,19.87568,15954.056,-16.030570992405476,11.348102573932472,1286,2,Open Forest
63.957726,171.23705,0.23253503,0.33546984,0.27119362,0.2924,121.96727,365.68454,0.28099623,0.27414536,0.1515,0.12885147,0.2685,0.2448,133.50795,0.25076067,3.946591,73.31614,17.0,38.42591,0.30029187,0.2895,163.40886,365.15976,39.379772,0.082991175,28.7775,2.299003,357.0118,0.5085923,0.1164,0.1104,28.7775,0.43669912,0.24160965,23.044773,0.21967469,0.27495566,0.30903876,0.1815,0.16010946,0.0,11.276591,415.90817,4.963273,0.0,12.899426,3.9876342,11.276591,0.008078925,0.028358659,2.184318,64.0,2.1164036,-47086.45,0.017348142,0.0807,0.017985806,1.8369551,2265.0,11.969921,0.40433213,0.0,12141.089,-14152.749,20.04659,-36030.58,-16.030750655462302,11.34801274240406,1286,2,Open Forest
66.82568,168.34796,0.23372486,0.2900035,0.27839437,0.2856,127.45955,359.7034,0.28251374,0.22983952,0.1515,0.12916264,0.2685,0.2448,132.23523,0.25760052,3.903409,78.78954,16.0,42.360455,0.24679683,0.2895,160.55887,358.6834,41.827274,0.09723586,28.480227,2.277788,347.17023,0.4294816,0.1406,0.1246,28.480227,0.4145353,0.24390225,25.431591,0.23428574,0.277796,0.26973063,0.1815,0.16486807,0.0,12.115909,406.8593,4.9560976,0.0,12.927022,4.2186484,12.115909,0.00811157,0.02973054,2.314091,67.0,2.1995225,-19761.555,0.011841807,0.0893,0.015125527,1.8904806,2265.0,12.052024,0.3402159,0.0,7902.5054,-4287.012,20.370228,-14318.797,-16.03066082393389,11.34801274240406,1286,2,Open Forest
69.76023,165.71364,0.22471568,0.2777913,0.2798347,0.3054,132.475,354.2202,0.2644999,0.23881562,0.1812,0.15013601,0.3128,0.2555,131.07341,0.28733075,4.0563636,84.115,16.0,45.9225,0.25078192,0.2913,157.67068,352.7543,44.08841,0.09898591,31.022728,2.3162296,337.7266,0.40402856,0.152,0.1256,31.022728,0.40054175,0.24102603,27.628181,0.17168494,0.19927871,0.25790143,0.2161,0.19160445,0.0,12.956591,398.33273,4.9570336,0.0,14.308555,4.378842,12.956591,0.008089772,0.040488902,2.433409,67.0,2.2541676,6570.504,0.02395839,0.0918,0.014547013,1.955659,2265.0,11.768045,0.35218093,0.0,3984.8174,5804.159,19.955683,4797.7505,-16.030570992405476,11.34801274240406,1286,2,Open Forest
62.423862,173.04182,0.23253503,0.4205618,0.29183835,0.3098,118.880455,368.9468,0.28099623,0.3917603,0.1515,0.12885147,0.2685,0.2448,134.25227,0.25076067,4.215,70.284775,17.0,36.41773,0.41096613,0.2895,164.8834,368.74817,38.34409,0.06839051,32.453636,2.3599808,362.4584,0.63814175,0.0783,0.0763,32.453636,0.4565829,0.2260056,21.922955,0.25332192,0.29965097,0.3937101,0.1815,0.16010946,0.0,10.689546,420.48682,4.9904737,0.0,14.326732,3.8562818,10.689546,0.007676653,0.028358659,2.0713637,55.0,2.0230732,-61612.93,0.017348142,0.0486,0.020589488,1.7740142,2265.0,11.707595,0.58800316,0.0,14335.497,-19655.373,19.550228,-50587.727,-16.030750655462302,11.34792291087565,1286,2,Open Forest
64.891365,170.05591,0.23253503,0.35158348,0.2738032,0.3008,123.667046,363.3909,0.28099623,0.3031361,0.1515,0.12885147,0.2685,0.2448,133.0091,0.25076067,4.135909,75.0525,16.0,39.842045,0.3503893,0.2895,162.17978,362.78455,40.422047,0.07658138,31.801363,2.3395243,353.50797,0.5365888,0.1106,0.0955,31.801363,0.43710092,0.2302703,23.97091,0.25268126,0.26827902,0.32866332,0.1815,0.16010946,0.0,11.512046,412.3775,4.992522,0.0,14.315153,4.057089,11.512046,0.007634814,0.028358659,2.1938636,58.0,2.118548,-37656.473,0.017348142,0.0634,0.019595217,1.8299448,2265.0,11.868157,0.45803356,0.0,10828.453,-10371.968,20.06159,-30995.062,-16.03066082393389,11.34792291087565,1286,2,Open Forest
67.432274,167.62273,0.22519271,0.3073985,0.28180763,0.3022,127.97887,358.50977,0.2649836,0.2721651,0.1812,0.15074843,0.3128,0.2555,131.89818,0.28623515,4.4177275,79.65523,16.0,42.905228,0.2923888,0.2913,159.44522,357.53864,42.346363,0.093150884,36.588634,2.4090605,345.12955,0.45084277,0.1274,0.1186,36.588634,0.421971,0.22463734,25.833408,0.17763811,0.2070452,0.28661525,0.2161,0.19025536,0.0,12.355,404.8975,4.994647,0.0,16.668436,4.181842,12.355,0.0075923554,0.039580792,2.3154545,58.0,2.1906924,-14040.776,0.024600947,0.0817,0.016027916,1.9018716,2265.0,11.78818,0.3859564,0.0,7215.6445,-988.7599,20.287045,-11600.355,-16.030570992405476,11.34792291087565,1286,2,Open Forest
75.43295,127.75773,0.23157613,0.4278791,0.3294611,0.25,151.35704,315.66364,0.27894086,0.22175829,0.1366,0.118692115,0.27805,0.19135,106.546135,0.25029284,3.7013636,104.58409,30.0,54.507275,0.23315683,0.21705,122.398636,314.81,41.98159,0.07211554,23.91091,2.3044071,278.08273,0.624023,0.1176,0.08495,23.91091,0.39260727,0.26027355,26.118181,0.15091883,0.3834881,0.4251587,0.18765,0.15129897,-0.026164984,7.473409,356.72522,4.7828546,0.0024022714,9.908211,4.3977876,7.473409,0.010608471,0.020513508,2.0275,55.0,2.0985498,30814.242,-0.03856945,0.05465,0.013502054,1.7584702,2440.0,6.038763,0.362836,230.20787,-3189.1194,8068.968,10.255,36035.215,-15.21795498639096,11.346755101006291,1321,6,Non-Forest
74.329315,128.15863,0.20270333,0.3218132,0.25634113,0.22580001,149.22887,317.19022,0.2442696,0.19462766,0.1326,0.11210523,0.2764,0.1858,106.94886,0.25108147,3.7986364,102.858635,30.0,53.069546,0.1921905,0.2138,123.14682,316.42773,41.22091,0.06370387,24.602728,2.3189957,280.87888,0.548649,0.1082,0.07905,24.602728,0.3748585,0.24705926,25.5875,0.08522233,0.24172656,0.32494596,0.19365,0.15796016,-0.01607382,7.7472725,359.48773,4.827083,0.0,9.869144,4.4159317,7.7472725,0.009897934,0.022290839,2.0990908,55.0,2.096029,33015.297,-0.032144375,0.0496,0.016022334,1.783133,2440.0,6.214689,0.33345094,230.20787,-3351.4604,8871.044,10.764091,39349.477,-15.217865154862547,11.346755101006291,1321,6,Non-Forest
